EEM,AGG,HYG,GSCI,S&P 500,Date
40.58,108.88,87.82,14.04,2391.17,324
40.29,108.73,87.79,13.9,2388.33,323
40.06,109.25,88.12,14.3,2384.2,322
40,109.06,88.15,14.3,2388.77,321
40.05,108.96,88.09,14.46,2387.45,320
40.2,108.82,88.17,14.43,2388.61,319
39.85,109.18,88.01,14.42,2374.15,318
39.29,109.34,87.6,14.42,2348.69,317
39.29,109.31,87.67,14.52,2355.84,316
38.81,109.48,87.38,14.39,2338.17,315
39.05,109.65,87.46,14.46,2342.19,314
39.55,109.21,87.48,14.65,2349.01,313
39.14,109.27,87.22,14.71,2328.95,312
39.31,109.13,87.4,15.02,2344.93,311
39.12,108.89,87.34,15.1,2353.78,310
39.21,108.58,87.51,15.17,2357.16,309
39.37,108.44,87.39,15.12,2355.54,308
39.44,108.68,87.43,15.18,2357.49,307
39.51,108.69,87.32,15.15,2352.95,306
39.63,108.57,87.39,15.02,2360.16,305
39.61,108.67,87.36,14.96,2358.84,304
39.39,108.49,87.78,14.83,2362.72,303
39.67,108.41,87.81,14.84,2368.06,302
39.88,108.61,87.4,14.67,2361.13,301
39.81,108.37,87.22,14.82,2358.57,300
39.7,108.62,86.74,14.73,2341.59,299
39.81,108.36,86.83,14.65,2343.98,298
39.71,108.45,86.53,14.49,2345.96,297
39.7,108.42,86.5,14.39,2348.45,296
39.51,108.27,86.29,14.43,2344.02,295
39.985,108.05,87.0034,14.39,2373.47,294
39.49,107.89,87.08,14.45,2378.25,293
39.56,107.66,87.05,14.45,2381.38,292
39.32,107.78,87.3,14.5566,2385.26,291
38.32,107.16,86.11,14.59,2365.45,290
38.54,107.12,86.37,14.6,2373.47,289
38.01,107.3,86.3,14.59,2372.6,288
37.59,107.14,86.33,14.42,2364.87,287
37.89,107.47,86.56,14.48,2362.98,286
38.25,107.73,87.14,14.51,2368.39,285
38.21,107.87,87.71,14.68,2375.31,284
38.19,107.92,87.99,14.81,2383.12,283
37.9,107.84,87.95,15.23,2381.92,282
38.58,108.04,88.23,15.31,2395.96,281
37.99,108.77,88.29,15.29,2363.64,280
38.36,108.8,88.36,15.21,2369.75,279
38.48,109,88.25,15.48,2367.34,278
38.94,108.6,88.18,15.45,2363.81,277
38.93,108.42,88.1,15.4,2362.82,276
38.81,108.35,88.06,15.42,2365.38,275
38.39,108.36,87.77,15.47,2351.16,274
38.55,108.12,87.68,15.4,2347.22,273
38.69,107.89,87.75,15.53,2349.25,272
38.38,108.06,87.72,15.45,2337.58,271
38.34,108.3,87.66,15.5,2328.25,270
38.22,108.46,87.53,15.53,2316.1,269
37.87,108.48,87.47,15.53,2307.87,268
37.7,108.74,87.35,15.47,2294.67,267
37.47,108.43,87.29,15.67,2293.08,266
37.66,108.32,87.42,15.51,2292.56,265
37.75,108.01,87.48,15.44,2297.42,264
37.52,107.98,87.33,15.35,2280.85,263
37.36,107.92,87.28,15.46,2279.55,262
37.34,108.29,87.34,15.61,2278.87,261
37.27,108.03,87.43,15.62,2280.9,260
37.47,108.08,87.61,15.62,2294.69,259
37.44,107.99,87.53,15.43,2296.68,258
37.6,107.92,87.57,15.34,2298.37,257
37.19,108.21,87.26,15.48,2280.07,256
36.96,108.38,87.2,15.61,2265.2,255
36.42,108.08,87.2,15.53,2271.31,254
36.35,108.04,87.03,15.57,2263.69,253
36.46,108.32,87.31,15.56,2271.89,252
36.66,108.79,87.23,15.56,2267.89,251
36.68,108.42,87.32,15.38,2274.64,250
36.71,108.61,87.29,15.41,2270.44,249
36.55,108.57,87.27,15.62,2275.32,248
36.12,108.44,87.22,15.61,2268.9,247
35.91,108.47,87.21,15.64,2268.9,246
35.94,108.29,87.23,15.4,2276.98,245
36.09,108.65,87.25,15.2,2269,244
35.7,108.2,87.38,15.31,2270.75,243
35.43,108.17,86.91,15.58,2257.83,242
35.01,108.06,86.55,15.64,2238.83,241
35.26,107.84,86.52,15.54,2249.26,240
34.69,107.51,86.4,15.42,2249.92,239
34.43,107.34,86.52,15.67,2268.88,238
34.28,107.42,86.6,15.69,2263.79,237
34.08,107.39,86.44,15.67,2260.96,236
34.49,107.64,86.54,15.62,2265.18,235
35.03,107.41,86.39,15.4,2270.76,234
34.91,107.51,86.27,15.36,2262.53,233
35.15,107.23,86.05,15.36,2258.07,232
35.31,107.16,85.97,15.42,2262.03,231
35.25,107.29,85.93,15.38,2253.28,230
36.33,107.88,86.58,15.47,2271.72,229
35.93,107.74,86.37,15.33,2256.96,228
36.17,107.84,86.49,15.34,2259.53,227
36.36,108.17,86.45,15.59,2246.19,226
36.2,108.37,86.46,15.52,2241.35,225
35.6,108.09,86.03,15.42,2212.23,224
35.41,108.11,85.6,15.31,2204.71,223
35.12,108.02,85.38,15.19,2191.95,222
35.08,107.68,84.87,15.32,2191.08,221
35.5,108.24,85.65,15.36,2198.81,220
35.44,108.67,85.61,15.32,2204.66,219
35.39,108.55,85.72,15.23,2201.72,218
35.25,108.17,85.73,14.92,2213.35,217
35.08,108.18,85.62,14.27,2204.72,216
35.46,108.56,85.94,14.64,2202.94,215
34.93,108.46,85.31,14.57,2198.18,214
34.59,108.37,84.63,14.71,2181.9,213
34.75,108.72,84.63,14.69,2187.12,212
34.7,109.13,84.86,14.73,2176.94,211
34.99,108.89,85.2,14.27,2180.39,210
34.3,108.81,84.09,14.13,2164.2,209
34.55,109.25,83.47,14.13,2164.45,208
35.22,109.45,84.26,14.25,2167.48,207
36.25,109.9,85.38,13.9,2163.26,206
37.47,110.93,85.98,13.91,2139.56,205
37.23,111.11,86.17,14.14,2131.52,204
35.93,111.24,84.98,14.31,2085.18,203
36.3,111.01,84.94,14.19,2088.66,202
36.4,111.16,84.92,14.23,2097.94,201
36.84,111.03,85.3,14.11,2111.72,200
37.14,111.3,86.02,14.23,2126.15,199
36.93,111.16,86.28,14.36,2126.41,198
37.08,111.16,86.7,14.59,2133.04,197
37.4,111.44,87.02,14.56,2139.43,196
37.8,111.66,87.37,14.96,2143.16,195
37.76,111.66,87.42,15.08,2151.33,194
37.6,111.83,87.37,14.96,2141.16,193
37.61,111.76,87.35,15.06,2141.34,192
37.72,111.8,87.34,15.19,2144.29,191
37.49,111.74,87.09,15.2,2139.6,190
36.84,111.56,86.74,15.12,2126.5,189
36.88,111.37,86.86,15.31,2132.98,188
36.82,111.56,86.66,15.17,2132.55,187
37.15,111.4,86.88,15.14,2139.18,186
37.22,111.36,86.91,15.18,2136.73,185
38.1,111.53,87.4,15.19,2163.66,184
37.69,111.58,87.15,15.08,2153.74,183
37.86,111.56,86.95,15.23,2160.77,182
37.83,111.56,86.9,15.3,2159.73,181
37.29,111.71,86.67,15.09,2150.49,180
37.71,112.09,86.82,15.21,2161.2,179
37.45,112.42,87.26,15.12,2168.27,178
37.29,112.54,86.88,14.94,2151.13,177
37.95,112.54,87.21,14.92,2171.37,176
37.61,112.51,86.63,14.82,2159.93,175
37.08,112.37,86.38,14.76,2146.1,174
37.63,112.23,86.76,14.61,2164.69,173
38.12,112.26,86.86,14.25,2177.18,172
37.85,112.03,86.57,14.46,2163.12,171
36.82,111.75,85.86,14.32,2139.76,170
36.8,111.71,85.96,14.56,2139.12,169
36.51,111.8,85.91,14.48,2139.16,168
36.76,111.72,85.89,14.25,2147.26,167
36.14,111.65,85.39,14.18,2125.77,166
36.03,111.51,85.41,14.2,2127.02,165
36.96,111.82,86.07,14.17,2159.04,164
36.71,111.73,85.77,14.1,2127.81,163
37.99,112.22,86.6,14.26,2181.3,162
38.09,112.61,86.76,14.53,2186.16,161
38.21,112.55,87,14.46,2186.48,160
37.41,112.31,86.9,14.73,2179.98,159
36.81,112.46,86.5,14.41,2170.86,158
36.53,112.57,86.7,14.27,2170.95,157
36.94,112.59,87.04,14.17,2176.12,156
37.04,112.65,86.99,14.05,2180.38,155
36.76,112.34,86.56,14.24,2169.04,154
37.08,112.52,86.66,14.58,2172.47,153
37.05,112.64,86.5,14.7,2175.44,152
36.95,112.68,86.74,14.81,2186.9,151
37.1,112.65,86.45,14.87,2182.64,150
37.6,112.48,86.59,14.8,2183.87,149
37.81,112.73,86.85,14.99,2187.02,148
37.46,112.57,86.51,14.89,2182.22,147
37.7,112.36,86.39,15.15,2178.15,146
37.87,112.43,86.565,15.16,2190.15,145
37.48,112.63,86.31,14.97,2184.05,144
37.62,112.36,86.24,14.87,2185.79,143
37.14,112.66,86.03,14.75,2175.49,142
37.13,112.53,86.19,14.5,2181.74,141
36.88,112.24,85.89,14.3,2180.89,140
36.62,112.17,85.54,13.96,2182.87,139
36.2,112.55,85.35,14.16,2164.25,138
36,112.34,84.81,14.26,2163.79,137
35.88,112.22,84.43,14.12,2157.03,136
36.14,112.55,84.55,14.03,2170.84,135
36.205,113.02,85.41,13.96,2173.6,134
36.02,112.72,85.33,13.65,2170.06,133
36.01,112.73,85.69,13.67,2166.58,132
35.89,112.4,85.43,13.96,2169.18,131
35.61,112.4,85.76,13.89,2168.48,130
35.97,112.53,86.17,14.01,2175.03,129
35.705,112.51,85.79,14.21,2165.17,128
35.82,112.41,85.91,14.25,2173.02,127
35.64,112.51,85.69,14.43,2163.78,126
36.005,112.32,85.92,14.48,2166.89,125
35.69,112.26,85.63,14.61,2161.74,124
35.77,112.67,85.8,14.67,2163.75,123
35.26,112.77,85.63,14.83,2152.43,122
35.32,112.61,85.88,14.94,2152.14,121
34.83,112.95,85.64,14.92,2137.16,120
34.5,113.25,85.59,14.85,2129.9,119
33.77,113.08,84.47,15.11,2097.9,118
33.86,113.16,84.36,14.7,2099.73,117
33.95,112.95,83.99,14.85,2088.55,116
34.69,112.65,84.47,14.72,2102.95,115
34.36,112.615,84.7,15.23,2098.86,114
34.02,112.39,84.13,15.16,2070.77,113
33.18,112.47,83.08,15.71,2036.09,112
32.23,112.33,82.05,15.52,2000.54,111
32.64,111.86,83.25,15.69,2037.41,110
34.76,111.28,84.64,15.46,2113.32,109
33.94,111.47,84.02,15.19,2085.45,108
34.12,111.4,83.94,15.3,2088.9,107
33.86,111.48,83.62,15.79,2083.25,106
33.27,111.79,83.13,15.61,2071.22,105
33.18,111.87,83.075,15.75,2077.99,104
33.3,111.8,83.03,15.82,2071.5,103
32.95,111.56,82.99,15.66,2075.32,102
33.06,111.61,83.27,15.2,2079.06,101
33.53,111.52,83.83,15.52,2096.07,100
34.4,111.37,84.24,15.7,2115.48,99
34.8,111.29,84.57,15.77,2119.12,98
34.55,111.25,84.25,15.84,2112.13,97
34.24,111.15,83.88,16.15,2109.41,96
33.88,111.3,83.51,16.25,2099.13,95
33.37,110.7,83.36,15.97,2105.26,94
33.1,110.42,83.34,15.84,2099.33,93
33.12,110.7,83.61,15.67,2096.96,92
33.08,110.63,83.69,15.62,2099.06,91
33.09,110.65,83.55,15.57,2090.1,90
32.87,110.48,83.79,15.42,2090.54,89
32.48,110.46,83.66,15.58,2076.06,88
32.15,110.52,83.16,15.52,2048.04,87
32.21,110.54,83.14,15.51,2052.32,86
31.89,110.47,82.85,15.32,2040.04,85
32.19,110.4,83.08,15.25,2047.63,84
32.51,110.86,83.07,15.39,2047.21,83
32.66,111.01,83.24,15.37,2066.66,82
32.27,111.2,82.78,15.39,2046.61,81
32.86,110.99,83.15,15.58,2064.11,80
32.95,111.09,83.02,15.43,2064.46,79
33.03,111.09,83.08,15.15,2084.39,78
32.41,111.04,82.38,15.18,2058.69,77
32.83,110.97,82.53,15.13,2057.14,76
32.78,111.14,82.58,14.8,2050.63,75
32.79,110.86,82.65,14.42,2051.12,74
33.33,110.81,82.96,14.77,2063.37,73
34.295,110.605,83.5,14.67,2081.43,72
34.39,110.89,83.85,14.7,2065.3,71
34.54,110.9,83.71,14.7,2075.81,70
34.9,110.68,83.85,14.97,2095.15,69
34.69,110.35,83.36,15.22,2091.7,68
34.3192,110.4,83.08,15.1,2087.79,67
34.54,110.52,83.4,15.05,2091.58,66
34.75,110.51,83.21,14.84,2091.48,65
35.1,110.66,83.47,14.6,2102.4,64
35.26,110.93,83.31,14.68,2100.8,63
34.73,110.94,82.96,14.76,2094.34,62
34.57,110.95,82.49,14.83,2080.73,61
34.77,110.64,82.62,14.51,2082.78,60
34.94,110.83,82.65,14.2,2082.42,59
34.33,110.78,82.11,14.21,2061.72,58
33.81,110.96,81.63,14.33,2041.99,57
33.38,110.88,81.52,14.39,2047.6,56
32.81,110.99,81.15,14.43,2041.91,55
33.48,110.75,81.55,14.06,2066.66,54
33.08,110.77,80.87,13.95,2045.17,53
33.74,110.62,81.17,13.51,2066.13,52
34.15,110.51,81.37,13.55,2072.78,51
34.25,110.825,81.69,13.28,2059.74,50
34.28,110.48,81.58,13.29,2063.95,49
33.93,110.52,81.29,13.51,2055.01,48
33.47,110.19,80.98,13.79,2037.05,47
33.36,110.11,81.35,13.77,2035.94,46
33.44,110.1,81.71,13.88,2036.71,45
34.02,109.86,82.09,13.98,2049.8,44
34.1,109.93,82.31,13.99,2051.6,43
34.0285,110.17,82.4,14.04,2049.58,42
33.85,110.08,82.21,14.4,2040.59,41
33.12,109.85,81.69,14.37,2027.22,40
32.47,109.38,81.15,14.31,2015.93,39
32.94,109.48,81.91,14.38,2019.64,38
33.14,109.42,82.14,14.19,2022.19,37
32.46,109.62,81.16,13.87,1989.57,36
32.41,109.57,80.6,14,1989.26,35
32.21,109.62,80.4,14.16,1979.26,34
32.77,109.35,80.97,14.04,2001.76,33
32.82,109.38,80.87,14.15,1999.99,32
32.18,109.55,80.64,13.78,1993.4,31
31.82,109.42,80.37,14.05,1986.45,30
31.4,109.54,80.92,13.7,1978.35,29
30.32,110.09,80.08,13.35,1932.23,28
30.06,109.96,79.23,13.34,1948.05,27
30.36,110.16,78.7,13.24,1951.7,26
30.26,109.88,78.28,13.2,1929.8,25
30.33,109.84,78.15,13.03,1921.27,24
30.99,109.82,78.31,13.05,1945.5,23
30.24,109.79,77.64,12.98,1917.78,22
30.38,109.77,77.49,12.8,1917.83,21
30.56,109.44,77.42,13.06,1926.82,20
29.97,109.5,76.79,12.81,1895.58,19
29.32,109.77,76.72,12.93,1864.78,18
28.82,110.07,75.59,12.99,1829.08,17
29.31,110,76.1,12.63,1851.86,16
29.19,109.73,76.21,12.72,1852.21,15
29.6,109.74,76.5,12.43,1853.44,14
30.01,109.32,77.41,12.33,1880.05,13
30.36,109.42,78,12.43,1915.45,12
30.13,109.31,78.25,12.8,1912.53,11
29.3,109.32,77.87,12.99,1903.03,10
30.28,108.99,78.43,13.14,1939.38,9
30.57,109.35,79.29,13.26,1940.24,8
29.61,109.03,79.03,12.78,1893.36,7
29.15,108.94,78.63,13.08,1882.95,6
29.25,108.92,78.75,13.48,1903.63,5
28.825,108.78,78.05,13.38,1877.08,4
29.33,108.84,78.83,13.07,1906.9,3
28.36,108.76,77.64,12.87,1868.99,2
28.25,108.91,77.12,12.59,1859.33,1
28.88,108.82,77.64,13.02,1881.33,0
